PopName,Area,Year,YearReg,Age,AgeInt,Lexis,BirthOrder,OrderInt,PrevBirth,DurInt,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
SWE,1,1786,1786,20,5,RR,TOT,.,.,.,2,10851,O,.,.,.,11,0
SWE,1,1786,1786,25,5,RR,TOT,.,.,.,2,18171,O,.,.,.,11,0
SWE,1,1786,1786,30,5,RR,TOT,.,.,.,2,18997,O,.,.,.,11,0
SWE,1,1786,1786,35,5,RR,TOT,.,.,.,2,13030,O,.,.,.,11,0
SWE,1,1786,1786,40,5,RR,TOT,.,.,.,2,6132,O,.,.,.,11,0
SWE,1,1786,1786,45,5,RR,TOT,.,.,.,2,1137,O,.,.,.,11,0
SWE,1,1786,1786,50,+,RR,TOT,.,.,.,2,21,O,.,.,.,11,0
SWE,1,1786,1786,UNK,.,.,TOT,.,.,.,2,973,O,.,.,.,11,0
SWE,1,1786,1786,TOT,.,.,TOT,.,.,.,2,71336,O,.,.,.,11,0
SWE,1,1787,1787,19,-,RR,TOT,.,.,.,2,1785,O,.,.,.,11,0
SWE,1,1787,1787,20,5,RR,TOT,.,.,.,2,10657,O,.,.,.,11,0
SWE,1,1787,1787,25,5,RR,TOT,.,.,.,2,17522,O,.,.,.,11,0
SWE,1,1787,1787,30,5,RR,TOT,.,.,.,2,17907,O,.,.,.,11,0
SWE,1,1787,1787,35,5,RR,TOT,.,.,.,2,12785,O,.,.,.,11,0
SWE,1,1787,1787,40,5,RR,TOT,.,.,.,2,6143,O,.,.,.,11,0
SWE,1,1787,1787,45,5,RR,TOT,.,.,.,2,1149,O,.,.,.,11,0
SWE,1,1787,1787,50,+,RR,TOT,.,.,.,2,19,O,.,.,.,11,0
SWE,1,1787,1787,UNK,.,.,TOT,.,.,.,2,1129,O,.,.,.,11,0
SWE,1,1787,1787,TOT,.,.,TOT,.,.,.,2,69096,O,.,.,.,11,0
SWE,1,1788,1788,19,-,RR,TOT,.,.,.,2,1921,O,.,.,.,11,0
SWE,1,1788,1788,20,5,RR,TOT,.,.,.,2,11021,O,.,.,.,11,0
SWE,1,1788,1788,25,5,RR,TOT,.,.,.,2,19555,O,.,.,.,11,0
SWE,1,1788,1788,30,5,RR,TOT,.,.,.,2,19525,O,.,.,.,11,0
SWE,1,1788,1788,35,5,RR,TOT,.,.,.,2,13927,O,.,.,.,11,0
SWE,1,1788,1788,40,5,RR,TOT,.,.,.,2,6488,O,.,.,.,11,0
SWE,1,1788,1788,45,5,RR,TOT,.,.,.,2,1199,O,.,.,.,11,0
SWE,1,1788,1788,50,+,RR,TOT,.,.,.,2,15,O,.,.,.,11,0
SWE,1,1788,1788,UNK,.,.,TOT,.,.,.,2,1160,O,.,.,.,11,0
SWE,1,1788,1788,TOT,.,.,TOT,.,.,.,2,74811,O,.,.,.,11,0
SWE,1,1789,1789,19,-,RR,TOT,.,.,.,2,2044,O,.,.,.,11,0
SWE,1,1789,1789,20,5,RR,TOT,.,.,.,2,10648,O,.,.,.,11,0
SWE,1,1789,1789,25,5,RR,TOT,.,.,.,2,17758,O,.,.,.,11,0
SWE,1,1789,1789,30,5,RR,TOT,.,.,.,2,18720,O,.,.,.,11,0
SWE,1,1789,1789,35,5,RR,TOT,.,.,.,2,13072,O,.,.,.,11,0
SWE,1,1789,1789,40,5,RR,TOT,.,.,.,2,6443,O,.,.,.,11,0
SWE,1,1789,1789,45,5,RR,TOT,.,.,.,2,1250,O,.,.,.,11,0
SWE,1,1789,1789,50,+,RR,TOT,.,.,.,2,21,O,.,.,.,11,0
SWE,1,1789,1789,UNK,.,.,TOT,.,.,.,2,843,O,.,.,.,11,0
SWE,1,1789,1789,TOT,.,.,TOT,.,.,.,2,70799,O,.,.,.,11,0
SWE,1,1790,1790,19,-,RR,TOT,.,.,.,2,1965,O,.,.,.,11,0
SWE,1,1790,1790,20,5,RR,TOT,.,.,.,2,10772,O,.,.,.,11,0
SWE,1,1790,1790,25,5,RR,TOT,.,.,.,2,17162,O,.,.,.,11,0
SWE,1,1790,1790,30,5,RR,TOT,.,.,.,2,17412,O,.,.,.,11,0
SWE,1,1790,1790,35,5,RR,TOT,.,.,.,2,11967,O,.,.,.,11,0
SWE,1,1790,1790,40,5,RR,TOT,.,.,.,2,5805,O,.,.,.,11,0
SWE,1,1790,1790,45,5,RR,TOT,.,.,.,2,1205,O,.,.,.,11,0
SWE,1,1790,1790,50,+,RR,TOT,.,.,.,2,22,O,.,.,.,11,0
SWE,1,1790,1790,UNK,.,.,TOT,.,.,.,2,1061,O,.,.,.,11,0
SWE,1,1790,1790,TOT,.,.,TOT,.,.,.,2,67371,O,.,.,.,11,0
SWE,1,1791,1791,19,-,RR,TOT,.,.,.,2,1934,O,.,.,.,11,0
SWE,1,1791,1791,20,5,RR,TOT,.,.,.,2,11112,O,.,.,.,11,0
SWE,1,1791,1791,25,5,RR,TOT,.,.,.,2,18573,O,.,.,.,11,0
SWE,1,1791,1791,30,5,RR,TOT,.,.,.,2,18949,O,.,.,.,11,0
SWE,1,1791,1791,35,5,RR,TOT,.,.,.,2,13593,O,.,.,.,11,0
